"seller_state","customer_state","total_freight_value_2017","total_freight_value_2018","avg_seller_processing_time_2017","avg_seller_processing_time_2018","avg_carrier_processing_time_2017","avg_carrier_processing_time_2018","delay_value_pct_per_state_2017","delay_value_pct_per_state_2018","avg_review_2017","avg_review_2018","total_orders_2017","total_orders_2018"
MG,MA,429.41992,2196.14,"2 days 27:45:26.3125","2 days 25:46:48.1875","13 days 20:54:38.066667","16 days 19:57:44.612903",0.0,50.090616941452026,3.6111111111111111,4.2187500000000000,18,32
SC,CE,288.72998,801.08,"1 day 13:44:01","1 day 13:02:11.5","18 days 28:50:23.25","26 days 29:38:14.625",0.0,49.66420233249664,3.8750000000000000,3.5000000000000000,8,8
PR,AL,243.30002,819.31995,"1 day 26:17:45.142857","1 day 19:32:21.210526","22 days 26:41:00.166667","27 days 26:45:59.842106",21.853676438331604,41.80540144443512,3.1250000000000000,3.0000000000000000,8,20
SC,PA,225.9,591.66003,"1 day 17:27:53.666667","3 days 15:44:08.428572","18 days 20:21:21.666667","28 days 26:34:48.571429",0.0,32.99022912979126,4.0000000000000000,3.8571428571428571,6,7
MA,SP,,3278.5308,,"5 days 19:42:12.127451",,"11 days 12:43:31.059406",,31.143829226493835,,3.7745098039215686,0,102
RS,BA,666.97003,1224.1,"2 days 26:55:29.263158","2 days 10:22:27.5625","15 days 30:59:35.578948","17 days 29:45:30.9375",3.7422969937324524,29.580914974212646,4.4736842105263158,3.9375000000000000,19,16
RJ,CE,239.86002,1138.95,"1 day 33:35:56.25","2 days 18:46:39.178571","20 days 17:12:02.875","23 days 27:50:29.153846",10.881347209215164,26.38658881187439,3.3750000000000000,3.2500000000000000,8,28
SP,AL,1976.7001,4605.64,"1 day 31:39:50.184615","2 days 15:53:52.467742","23 days 22:56:04.428571","20 days 34:33:33.975207",25.403445959091187,23.223698139190674,3.4090909090909091,3.5390625000000000,66,128
MA,DF,,517.79004,,"4 days 19:27:23.363636",,"11 days 13:16:32.909091",,22.640451788902283,,3.6818181818181818,0,22
MA,SC,,545.28,,"2 days 33:27:05.928571",,"15 days 10:34:44.642857",,22.179430723190308,,4.5000000000000000,0,14
SP,CE,5982.965,17046.21,"2 days 26:44:18.469945","2 days 16:23:15.261682","15 days 21:46:30.717392","19 days 24:42:47.330059",7.204454392194748,22.040322422981262,4.1081081081081081,3.5955473098330241,185,539
PR,PA,843.29987,1567.9598,"1 day 32:13:41.5","1 day 23:50:16.833333","13 days 29:04:47.357143","26 days 14:30:24.75",0.0,21.82709127664566,4.2500000000000000,3.7083333333333333,16,24
CE,SP,264.02,670.45996,"3 days 30:43:32.625","2 days 18:16:01.636364","10 days 11:01:59.625","12 days 14:53:08.090909",0.0,21.52104526758194,4.7500000000000000,3.8181818181818182,8,11
PR,MA,389.44998,832.50995,"2 days 28:03:58.545455","3 days 12:56:06.388889","16 days 23:45:28.818182","17 days 17:06:16.888889",0.0,21.357102692127228,4.5454545454545455,2.8333333333333333,11,18
SP,SE,1730.9803,4322.6704,"2 days 13:30:23.589285","2 days 20:35:04.145631","19 days 27:40:03.8","16 days 18:31:13.247524",14.206978678703308,21.326863765716553,3.6071428571428571,3.5769230769230769,56,104
SP,MA,3375.9702,9830.073,"2 days 27:45:49.064815","2 days 18:57:56.466101","14 days 29:23:44.09434","18 days 21:59:12.855264",2.6185063645243645,21.223850548267365,4.0000000000000000,3.6059322033898305,110,236
SC,PB,262.18,662.9,"2 days 24:52:49.833333","2 days 13:25:27.75","16 days 09:19:18.5","26 days 09:21:35",0.0,20.96696048974991,4.3333333333333333,3.5000000000000000,6,8
MG,MS,427.13995,901.66003,"1 day 17:42:02","1 day 31:30:34.307693","11 days 10:26:04.533333","14 days 32:06:41.269231",0.0,20.736196637153625,4.6250000000000000,3.6153846153846154,16,26
